URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/apartment/11021717,"43xUnits 7 Layard Street, Avondale","$490 per week, available now","Stylish Fully-Furnished Studio Apartment in Avondale – Modern Comfort, Ultimate Convenience

43x Studios are now available at 7 Layard St, Avondale!

**Furnishings Provided**

Experience the best of city fringe living in these well presented, nearly-new furnished studio apartments, thoughtfully designed for those who value both comfort and lifestyle.
Ideal for singles, students, or busy professionals, this contemporary space puts you in the heart of vibrant Avondale.

**Why You’ll Love Living Here:**

Bright, colourful interiors with quality furnishings throughout
Spacious open-plan living – light-filled and inviting
Fully equipped kitchen with premium appliances
Bedroom and lounge furniture included!
Easy-care bathroom with separate toilet
Secure building with individual floor access, extensive CCTV coverage & gated entry
Onsite carpark available for just $15 per week

**Exclusive Resident Amenities:**

Welcoming foyer for you and your guests
Onsite laundry facilities for your convenience - or go to one of the three local laundomats
Secure bicycle storage
Lift access and main stairwell

Perfectly positioned in a sought-after city-fringe location, this modern apartment complex is just 100 metres from the Avondale Train Station, making your daily commute effortless. Avondale Primary School sits just over the fence, and you’re within easy walking distance to local shops, cafés, healthcare facilities, public transport, and beautiful green parks – everything you need, right at your doorstep.

Move in costs:
2 weeks' rent in advance
Bond - 4 weeks rent

We have a range of studios to choose from - yellow or blue-themed interiors, across four levels – ground-floor units feature private courtyards, while upper levels offer elevated views. All are approx 50–57m².

On-site parking is also available for just $15 per week (conditions apply).

Book in for a viewing through our website:
https://www.barfoot.co.nz/branches/royal-heights?tab=ForRent

Read more",Jasraj Suri : 021769 257
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/apartment/11021723,"9xUnits 7 Layard Street, Avondale","$720 per week, available now","Stylish Fully-Furnished Apartments in Avondale – Modern Comfort, Ultimate Convenience

9x 3 bed 1 bath apartments are now available at 7 Layard St, Avondale!

**Furnishings Provided**

Experience the best of city fringe living in these well presented, nearly-new furnished apartments, thoughtfully designed for those who value both comfort and lifestyle.
Ideal for singles, students, or busy professionals, this contemporary space puts you in the heart of vibrant Avondale.

**Why You’ll Love Living Here:**

Bright, colourful interiors with quality furnishings throughout
Spacious open-plan living – light-filled and inviting
Fully equipped kitchen with premium appliances
Bedroom and lounge furniture included!
Easy-care bathroom, separate toilet incl is some apartments
Secure building with individual floor access, extensive CCTV coverage & gated entry
Onsite carpark available for just $15 per week

**Exclusive Resident Amenities:**

Welcoming foyer for you and your guests
Onsite laundry facilities for your convenience - or go to one of the three local laundomats
Secure bicycle storage
Lift access and main stairwell

Perfectly positioned in a sought-after city-fringe location, this modern apartment complex is just 100 metres from the Avondale Train Station, making your daily commute effortless. Avondale Primary School sits just over the fence, and you’re within easy walking distance to local shops, cafés, healthcare facilities, public transport, and beautiful green parks – everything you need, right at your doorstep.

Move in costs:
2 weeks' rent in advance
Bond - 4 weeks rent

We have a range of apartments to choose from - yellow or blue-themed interiors, across four levels – ground-floor units feature private courtyards, while upper levels offer elevated views. All are approx 83 to 88m².

On-site parking is also available for just $15 per week (conditions apply).

Book in for a viewing through our website:
https://www.barfoot.co.nz/branches/royal-heights?tab=ForRent

Read more",Jasraj Suri : 021769 257
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/house/11023925,"1/226 Blockhouse Bay Road, Avondale","$690 per week, available 6th March","Location Plus!

This well-presented home offers comfortable living with practical features throughout.

Property Features:
3 bedrooms with plenty of natural light , along with an additional office or study room.
One bathroom plus separate additional toilet for added convenience.
Open plan dining with well-appointed kitchen and ample cabinetry.
Two covered carports providing secure off-street parking, along with fully fenced yard.

Perfectly positioned, only minutes to the vibrant village shops, cafés, and everyday amenities, with easy access to public transport and convenient routes to the CBD, commuting is simple and stress-free.

Read more",Ankur Mangal : 0274040 642
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/townhouse/11012059,"2/2b Walsall Street, Avondale","$630 per week, available 14th March","2 Bedroom + 2 Bathroom in Great location!

Gorgeous, freehold terraced townhouse perfect for those wanting a lock up and leave, carefree lifestyle.

PROPERTY DETAILS:
- 2 x double bedrooms
- 2 x Bathrooms including ensuite
- Private courtyard.

This property does not have a car park but set on the sunny slopes of Avondale heights you wont need one with all the amenities so close by.

The village is an easy stroll and plenty of excellent transport options on hand with the bus stop on the corner and train station not far away.

A great opportunity to secure a home in a popular location. Get in touch to arrange a viewing.

COSTS to move in: X2 weeks rent in advance, & 4 week's bond.

Read more",Amani Casas-Clarke : 027355 6427
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/townhouse/24002398,"3/2B Walsall Street, Avondale","$620 per week, available 13th March","Avondale Urban Oasis: 2-Bed, 2-Bath & Sun-Drenched Privacy!

VIEWINGS ARE BY APPOINTMENT ONLY. Please register online to secure your spot. To register, go to our website: http://www.barfoot.co.nz/Branches/mt-albert/Rentals. Select the property and click the 'Book a viewing' button.

Light, Bright, and Ideally Situated
If you’re looking for a modern home that balances privacy with a vibrant urban lifestyle, Unit 3 at 2B Walsall Street is a must-see. Tucked away at the very end of the row, this townhouse benefits from extra windows that flood the home with natural light while offering a level of tranquility rarely found in central locations.

Key Features

Modern Open-Plan Living: The ground floor features a spacious, light-filled living area that flows seamlessly through sliding doors to your own private, paved courtyard—perfect for a morning coffee or low-maintenance entertaining.

Designer Kitchen: Cook in style with a sleek, contemporary kitchen featuring stone-look benchtops, high-quality stainless steel appliances (including a dishwasher), and ample cabinetry.

Dual Suite Comfort: Upstairs, the master bedroom is a true retreat with a private ensuite and wardrobe. The second generous bedroom has easy access to the main family bathroom, providing a great setup for professionals or a small family.

Smart Storage & Transport: While there is no dedicated car park, the building provides a shielded bike rack—ideal for e-bikes and as it's on the end of the row you could fit a Vespa out of the way by the front door.

Parking & Logistics
Parking on Walsall Street is currently P120. For long-term parking, unrestricted street parking is available just a short 230m stroll away on Robertson Road or the further end of Walsall Street.

The Location: Markets, Cafes & Connectivity
Avondale is one of Auckland’s most exciting suburbs, and you are right in the thick of it:

Food & Drink: Walk to local favourites like Browne Street Cafe for your morning brew or grab a world-famous burger at Baby G Burger.

Weekends: The iconic Avondale Sunday Markets and local train station are just moments away, making your weekend plans and weekday commute a breeze.

School Zones
This property is perfectly positioned for families, sitting in-zone for:

Avondale Primary School
Avondale Intermediate
Avondale College

No Smoking.
Pets considered on application.
Furniture is NOT included.

Move-in costs: 4 weeks rent for bond + 1 weeks rent in advance.

DISCLAIMER: Photos provided are indicative of the property, but the actual unit for rent is located at the end of the row. Unit 3 may differ slightly from the images displayed.

Beware of scams! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle.

Landlords
Are you looking for an innovative Property Manager with a focus on Healthy Homes Compliance and operational efficiency for your investment? Contact me, Barry, today to learn more about the Barfoot & Thompson difference!

Read more",Barry Smith : 027431 9540
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/unit/11023760,"12/14 New Windsor Road, Avondale","$480 per week, available now","Retirement Village - Avondale

Suitable for a single person or a couple over 60 years only.

Retirement Village - Avondale

Only available to singles and couples over the age of 60.

This independent living opportunity in a retirement village features a tidy two-bedroom, one-bathroom unit. Lawn maintenance is included in the $480 per week rent. One off-street car space.

Just minutes away from Pak'nSave, the motorway, train station, and the beloved Avondale Sunday Market at the Jockey Club, you'll enjoy the convenience of living near Avondale's prime attractions.

Please do not book in to view this property if you are under 60 years of age.

No pets or smokers. Maximum occupants: 2

Available now, $480 per week.

The cost to move in is the first two weeks' rent and a bond equal to four weeks' rent.

For inquiries, contact Amar Durakovic on 021479566.

Read more",Amar Durakovic : 021479 566
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/unit/30004657,"3/286 Rosebank Road, Avondale","$520 per week, available now","Two bedroom Brick and Tile Unit - water and Lawn included

Experience the best of easy-care living in this charming two-bedroom unit. Tucked away from the main road in a friendly block of four, this property is the perfect ""lock up and leave"" or cozy retreat for those who value privacy and proximity.

Key Features:

Sun-Soaked & Sturdy: Timeless brick and tile design.

All-Inclusive Living: Save on monthly bills with water and lawns included.

Safe & Sound: Single carport and a quiet, set-back position.

Location Plus: Moments from local schools and shops, with the motorway on-ramp just a few minutes' drive away.

Rent includes water and lawn.

DO NOT GO ONTO THE PROPERTY AT ANY TIME WITHOUT AN AGENT

Move in costs: 4 weeks rent for bond, 2 week's rent in advance

PLEASE NOTE: You must register for the viewing, please click on 'Book a viewing time' on our website so we can keep you up-to-date on the property. Viewings may be cancelled if there are no attendees registered or confirmed.

Please register to view at


Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

Landlords:
Barfoot and Thompson Greenlane offers Rental appraisals and full Property Management Services. Please give Justina call today to discuss your Property Management requirements. Ph: 09 523 1185 or 021 908 472
J.coleman@barfoot.co.nz

Read more",Justin Coleman : 021908 472
https://www.barfoot.co.nz/property/rental/auckland-city/balmoral/unit/25000182,"5/13 Queens Avenue, Balmoral","$495 per week, available 20th March","Charming unit hidden off Dominion Road!

Charming 1-Bedroom Haven: Quiet, Tidy, and Fresh!

Discover the comfort of this private 1-bedroom unit that exudes tranquility and modern charm.

The unit boasts a open plan kitchen and lounge area, perfect for both entertaining and relaxation.

Conveniently located near local shops on Dominion Road, you'll enjoy easy access to amenities while still savoring the peaceful serenity that sets this unit apart. Enjoy the added convenience and peace of mind with your very own off-street carpark, ensuring hassle-free parking right at your doorstep.

Pets considered on request.

Move in costs:
4 weeks rent as a bond
2 weeks rent in advance

To apply and to register a viewing please use the below link:
https://www.barfoot.co.nz/25002112

***DISCLAIMER*** Beware of scams! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D. and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",Albertine Hand : 027431 9546
https://www.barfoot.co.nz/property/rental/auckland-city/blockhouse-bay/house/11017007,"3/111 Donovan Street, Blockhouse Bay","$750 per week, available 13th March","3-Bedroom Home with Stunning Sea Views in Blockhouse Bay


*New photos will be coming soon

Discover easy living in this light-filled three-bedroom home, ideally located in the sought-after suburb of Blockhouse Bay. Offering the perfect balance of comfort and convenience, this property is designed to enhance your lifestyle every day.

Start your morning with a coffee on the private deck while enjoying sweeping sea views and fresh breezes. Inside, the open-plan living area is filled with natural light, creating a warm and welcoming space that’s perfect for entertaining or relaxing after a long day.

The home features three generous bedrooms, providing flexibility for families, guests, or those working from home. A modern bathroom complemented by a separate toilet ensures practicality and convenience for busy households. The seamless flow between the kitchen, dining, and living areas makes everyday living and hosting effortless, while the double garage offers secure parking and additional storage space.

Conveniently positioned close to local shops, schools, parks, and public transport, this home delivers both comfort and accessibility in a vibrant community setting.

Total moving in cost:
1 week rent in advance
4 weeks rent as bond

Please register for viewings. This can be done by going to the listing on our website at Barfoot & Thompson Blockhouse Bay - https://www.barfoot.co.nz/branches/blockhouse-bay?tab=ForRent or email me direct on n.brahmbhatt@barfoot.co.nz (TXT: 020 5900 8127)

Read more",Nidhi Brahmbhatt : 0205900 8127
https://www.barfoot.co.nz/property/rental/auckland-city/blockhouse-bay/house/11018544,"107 Kinross Street, Blockhouse Bay","$730 per week, available 23rd March","Spacious 4-Bedroom Home with Natural Light, Open Plan Living & More!

Welcome to this beautifully presented four-bedroom home, offering comfort, space, and practicality for modern living. Filled with natural light, the open-plan kitchen flows seamlessly into the living area, creating a warm and inviting space ideal for everyday living and entertaining.

Step out onto the generous deck — perfect for enjoying your morning coffee or relaxing in the evening while taking in the peaceful surroundings.

This property offers four well-sized bedrooms, providing plenty of room for families or those needing extra space. The fully fenced yard is spacious and secure, making it ideal for children. Additional storage is available under the house, offering extra convenience.

Located in a family-friendly neighbourhood, the home is close to schools, shops, and public transport, ensuring easy access to everyday amenities.

This is a wonderful opportunity to enjoy space, comfort, and convenience all in one place.

Total moving in cost:
1 week rent in advance
4 weeks bond



Please register for viewings. This can be done by going to the listing on our website at Barfoot & Thompson Blockhouse Bay - https://www.barfoot.co.nz/branches/blockhouse-bay?tab=ForRent or email me direct on n.brahmbhatt@barfoot.co.nz (TXT: 020 5900 8127)

Read more",Nidhi Brahmbhatt : 0205900 8127
