URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/apartment/11021717,"43xUnits 7 Layard Street, Avondale","$490 per week, available 6th March","Stylish Fully-Furnished Studio Apartment in Avondale – Modern Comfort, Ultimate Convenience

43x Studios are now available at 7 Layard St, Avondale!

**Furnishings Provided**

Experience the best of city fringe living in these well presented, nearly-new furnished studio apartments, thoughtfully designed for those who value both comfort and lifestyle.
Ideal for singles, students, or busy professionals, this contemporary space puts you in the heart of vibrant Avondale.

**Why You’ll Love Living Here:**

Bright, colourful interiors with quality furnishings throughout
Spacious open-plan living – light-filled and inviting
Fully equipped kitchen with premium appliances
Bedroom and lounge furniture included!
Easy-care bathroom with separate toilet
Secure building with individual floor access, extensive CCTV coverage & gated entry
Onsite carpark available for just $15 per week

**Exclusive Resident Amenities:**

Welcoming foyer for you and your guests
Onsite laundry facilities for your convenience - or go to one of the three local laundomats
Secure bicycle storage
Lift access and main stairwell

Perfectly positioned in a sought-after city-fringe location, this modern apartment complex is just 100 metres from the Avondale Train Station, making your daily commute effortless. Avondale Primary School sits just over the fence, and you’re within easy walking distance to local shops, cafés, healthcare facilities, public transport, and beautiful green parks – everything you need, right at your doorstep.

Move in costs:
2 weeks' rent in advance
Bond - 4 weeks rent

We have a range of studios to choose from - yellow or blue-themed interiors, across four levels – ground-floor units feature private courtyards, while upper levels offer elevated views. All are approx 50–57m².

On-site parking is also available for just $15 per week (conditions apply).

Book in for a viewing through our website:
https://www.barfoot.co.nz/branches/royal-heights?tab=ForRent

Read more",Jasraj Suri : 021769 257
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/apartment/11021723,"9xUnits 7 Layard Street, Avondale","$720 per week, available 6th March","Stylish Fully-Furnished Apartments in Avondale – Modern Comfort, Ultimate Convenience

9x 3 bed 1 bath apartments are now available at 7 Layard St, Avondale!

**Furnishings Provided**

Experience the best of city fringe living in these well presented, nearly-new furnished apartments, thoughtfully designed for those who value both comfort and lifestyle.
Ideal for singles, students, or busy professionals, this contemporary space puts you in the heart of vibrant Avondale.

**Why You’ll Love Living Here:**

Bright, colourful interiors with quality furnishings throughout
Spacious open-plan living – light-filled and inviting
Fully equipped kitchen with premium appliances
Bedroom and lounge furniture included!
Easy-care bathroom, separate toilet incl is some apartments
Secure building with individual floor access, extensive CCTV coverage & gated entry
Onsite carpark available for just $15 per week

**Exclusive Resident Amenities:**

Welcoming foyer for you and your guests
Onsite laundry facilities for your convenience - or go to one of the three local laundomats
Secure bicycle storage
Lift access and main stairwell

Perfectly positioned in a sought-after city-fringe location, this modern apartment complex is just 100 metres from the Avondale Train Station, making your daily commute effortless. Avondale Primary School sits just over the fence, and you’re within easy walking distance to local shops, cafés, healthcare facilities, public transport, and beautiful green parks – everything you need, right at your doorstep.

Move in costs:
2 weeks' rent in advance
Bond - 4 weeks rent

We have a range of apartments to choose from - yellow or blue-themed interiors, across four levels – ground-floor units feature private courtyards, while upper levels offer elevated views. All are approx 83 to 88m².

On-site parking is also available for just $15 per week (conditions apply).

Book in for a viewing through our website:
https://www.barfoot.co.nz/branches/royal-heights?tab=ForRent

Read more",Jasraj Suri : 021769 257
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/unit/30004657,"3/286 Rosebank Road, Avondale","$520 per week, available now","Two bedroom Brick and Tile Unit - water and Lawn included

Experience the best of easy-care living in this charming two-bedroom unit. Tucked away from the main road in a friendly block of four, this property is the perfect ""lock up and leave"" or cozy retreat for those who value privacy and proximity.

Key Features:

Sun-Soaked & Sturdy: Timeless brick and tile design.

All-Inclusive Living: Save on monthly bills with water and lawns included.

Safe & Sound: Single carport and a quiet, set-back position.

Location Plus: Moments from local schools and shops, with the motorway on-ramp just a few minutes' drive away.

Rent includes water and lawn.

DO NOT GO ONTO THE PROPERTY AT ANY TIME WITHOUT AN AGENT

Move in costs: 4 weeks rent for bond, 2 week's rent in advance

PLEASE NOTE: You must register for the viewing, please click on 'Book a viewing time' on our website so we can keep you up-to-date on the property. Viewings may be cancelled if there are no attendees registered or confirmed.

Please register to view at


Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

Landlords:
Barfoot and Thompson Greenlane offers Rental appraisals and full Property Management Services. Please give Justina call today to discuss your Property Management requirements. Ph: 09 523 1185 or 021 908 472
J.coleman@barfoot.co.nz

Read more",Justin Coleman : 021908 472
https://www.barfoot.co.nz/property/rental/auckland-city/blockhouse-bay/house/11023900,"486 Blockhouse Bay Road, Blockhouse Bay","$760 per week, available now","Effortless Living: Move in Ready 3 -Bedroom Home

*** Please register online at barfoot.co.nz for available viewing times ***

Easy Living: Lawn Mowing & Water Included!

This 3-bedroom and kitchen Storage area , 1-bathroom house is the perfect fit! Located in a quiet and friendly neighborhood, this property offers a blend of comfort and practicality—ideal for small families, professionals, or couples.

Property Overview:

- 3 Comfortable Bedrooms : Well-sized with built-in wardrobes and plenty of natural light.
- Spacious Living room layout perfect for relaxing or entertaining.
- Functional Kitchen: Ample cabinetry, good countertop space, and essential appliances.
- Garage + Off-Street Parking: Double-car garage with an additional off-street parking space—great for households with two vehicles.

It is in the zone of nearby schools and colleges:

- Blockhouse Bay School
- Lynnfield College
- St Dominic's School ( Primary)
- Avondale College ( Secondary)
- Auckland International college

Move-In Costs:

2 Weeks Rent: $1520
Bond: $3040
Total : $4560

Contact Jigna Vyas today on 027 2787255 or 09 627 8325 to arrange your private viewing.

***DISCLAIMER*** Beware of scams! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D. and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.


Read more",Jigna Vyas : 027278 7255
https://www.barfoot.co.nz/property/rental/auckland-city/blockhouse-bay/house/48000200,"29 Trinidad Street, Blockhouse Bay","$645 per week, available now","Charming 3-Bedroom Home Perfect for Families

This lovely home features two double bedrooms and one single bedroom, all with built-in wardrobes, and a spacious, sunny front-facing lounge complete with a heat pump. The generous kitchen and dining area open out onto a west-facing back deck, perfect for outdoor meals and entertaining. The bathroom includes a shower and vanity, with a separate toilet, and there is a large laundry conveniently located off the kitchen.

Outside, the property offers a huge backyard providing plenty of space for outdoor living, along with a single external access garage and under-house storage. The home is Healthy Homes compliant and includes a security alarm for added peace of mind.
Tenants will be responsible for maintaining the lawns.

Total moving in cost:
1 week rent in advance
4 weeks rent for bond

Please register for viewings. This can be done by going to the listing on our website at http:www.barfoot.co.nz/branches/blockhousebay/rentals

Select the property and click on ""book a viewing time ""towards the top right of the listings. If there is not a suitable viewing time please register and we will notify you of the next viewing time.

Are you a Landlord keen to have the best Property Manager look after your investment? Then get in touch today and experience the Barfoot and Thompson difference
(09) 626 4872

Read more",Maryam Arabzadeh : 027504 8493
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11003346,"608/17 Vogel Lane, City Centre","$570 per week, available now","Two Bedroom apartment with Carpark! Whiteware included

UNFURNISHED - IMAGES ARE VIRTUALLY STAGED

This modern compact apartment hosts two bedrooms, a balcony positioned perfectly for morning coffee in the sun and a secure basement carpark making this not just practical but a sensible choice too in the heart of Auckland city centre.

- Two good sized bedrooms
- 58m2 floor area
- 1 x Carpark in the building included in rent
- Unfurnished
- Whiteware included
- Zoned for Freemans Bay School, Ponsonby Intermediate and Western Springs College
- Walking distance to Wynyard Quarter, Viaduct, Commercial Bay, supermarkets and a stone throw away from SkyCity.
- Safe & secure building!

If you are interested in booking a viewing please follow the attached link. https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11003346


Read more",Daniel Slater : 027257 5681
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11012302,"1507/207 Federal Street, City Centre","$580 per week, available now","Penthouse Living in the Heart of the City

This peaceful penthouse apartment sitting pretty on the 15th floor with two bedrooms and a large living area, 58 sqm plus a north-east facing balcony.

The building has great shared facilities including Heated swimming pool, sauna, and gym with on-site Building Manager.

With a prime location near Sky City and Queen Street, the best of the city's offerings are at your doorstep. Shop, dine, and entertain at your leisure, and enjoy easy access to major motorways for convenient commuting.

Don't miss out on this opportunity to make this penthouse your new home. Contact us today to schedule a viewing. Your city sanctuary awaits!

AVAILABLE NOW!
Furnished.
No smokers.
Rent includes water.

The cost to move in is equivalent to:
- 1 x First week rent
- Bond (4 weeks rent)


Please register online to book a viewing or contact Ken on 027 298 5047 & k.ngan@barfoot.co.nz for the details:
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11012302


PLEASE NOTE: You MUST REGISTER for an Inspection so we can keep you up-to-date on the status of the inspections and property. Inspections may be cancelled if there are no attendees registered or confirmed.


** Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",Ken Ngan : 027298 5047
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11013742,"15/146 Fanshawe Street, City Centre","$400 per week, available 6th March","Studio apartment on Fanshawe St

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

- Furnished
- Studio
- Water included

Introducing a fantastic opportunity to live in a conveniently located furnished studio apartment in the heart of the vibrant Fanshawe St precinct.

This apartment boasts a prime location near Victoria Park, providing easy access to green spaces for relaxation and recreation. With its proximity to public transport options and being just a stone's throw away from the Motorway, commuting and getting around the city is a breeze.

Available NOW!
Suitable for a maximum of 2 tenants.
No smokers allowed.

$400.00 per week.

MOVE IN COSTS:
- 4 x weeks bond
- 2 x week rent in advance

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11013742

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://www.2apply.co.nz/login?ReturnUrl=%2FForm%3FagentId%3DBT-39%26uniqueId%3D11013742

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person.
We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11013746,"501/147 Victoria Street West, City Centre","$600 per week, available now","2 bedroom apartment under Skytower

Here is your opportunity to secure a great property in the sought after Ramada complex on Victoria Street West.

What his city complex offers:

Finished in 2019, only three years new building called 'Ramada Suites'
Total floor size of 56sqm approx. including a 7sqm balcony
One good-sized bedroom + one study (which can be used as a second bedroom) with both have windows to capture more lights
Full furniture is included
Open plan living and dining area has access to exterior decking
The kitchen has beautiful composite stone countertops and abundance of work space and plenty of storage
Located on the south-eastern corner of level 5, providing likely elevated CBD views.

A brilliant location where you can experience the serenity of Victoria Park and coastal walks of St Marys Bay, shopping at Commercial Bay and Waterfront dining at Wynyard Quarter. Transport is handy with Auckland Ferry Terminal, upcoming City Rail Link, motorways, with Auckland University, downtown, Queen St and supermarkets all within a walkable radius.

Move in cost
4 weeks rent as bond
1 week rent in advance


Read more",John He : 027616 1394
https://www.barfoot.co.nz/property/rental/auckland-city/city-centre/apartment/11013793,"407/135 Hobson Street, City Centre","$450 per week, available now","Newly renovated One Bedroom

ATTENTION: PLEASE DO NOT COMPLETE AN APPLICATION FORM UNLESS YOU HAVE PHYSICALLY VIEWED THE PROPERTY WITH ONE OF OUR AGENTS. Please see below for booking details.

Furnished one bedroom one bathroom property.

- Furnished
- One bed
- One bathroom
- WATER INCLUDED
- Approximately 30 Sqm
- Kitchen chattels
- Complex has a lap pool

Located close to the motorway, this property offers easy access to transportation and ensures a convenient commute to work or school. Whether you're heading downtown or out of town, you'll appreciate the convenience of this prime location.

Don't miss out on this fantastic opportunity to live in a recently renovated, modern apartment with all the conveniences you need. Contact us today to arrange a viewing and secure this property as your new home.

Available Date – 27/02/2026
Suitable for a maximum of 2 tenants.
No smokers allowed.

$450.00 per week.

MOVE IN COSTS:
- 4 x weeks bond = $1,800.00
- 2 x week rent in advance = $900.00
TOTAL: $2,700.00

Please copy and paste this link to book a viewing:
https://book.inspectrealestate.co.nz/RegisterNewNZ?agentID=BT-39&uniqueID=11013793

PLEASE NOTE: If there are no viewings available then please register your details so we can keep you up-to-date with new viewing times and property information. Viewings may be cancelled if there are no attendees registered or confirmed.

- Please copy and paste this link to complete the online tenancy application.
https://www.2apply.co.nz/login?ReturnUrl=%2FForm%3FagentId%3DBT-39%26uniqueId%3D11013793

- Please upload photo ID, proof of income, and a copy of your visa (if required).

EVERYONE over the age of 18 who wants to live at the property, needs their own application form and supporting documents and NEEDS to view the property in person.

IMPORTANT NOTICE: Beware of scams!
Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed IN OUR OFFICE prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",David Eum : 022363 8928
