URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11016893,"13 Muirlea Drive, Flat Bush","$820 per week, available now","Comfortable Family Home

Home Features:
- Spacious interior with 4 bedrooms and 2 bathrooms, providing comfortable living for your entire family.
- Two lounge areas and a modern kitchen, meticulously designed for relaxation an entertaining, offering adaptable living arrangements.
- A spacious deck overlooking a sizable backyard, perfect for outdoor activities and gardening.
- Conveniently situated in the heart of Mission Heights offering good education within minutes walk to Mission Heights Primary and Junior College, with quick access to motorways and trains for seamless connectivity.

NO SMOKING

Total move in costs :
One week rent in advance
General Bond (4 weeks rent)

Please feel free to drive by the property first to view from roadside but please do NOT enter the grounds of the property.

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",Sally Yap : 027245 1854
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11018257,"5 Mandival Avenue, Flat Bush","$840 per week, available 7th March","Brick & Tile 4 Bedroom in Flat Bush

***To register for viewings please click on ""book a viewing time"" on the Barfoots website, enter your contact details and you will automatically be updated when a viewing time is available***

!!! AVAILABLE NOW !!!
This well-presented 4-bedroom, 2-bathroom home with double internal access garage offers spacious, modern living with an open-plan kitchen, living, and dining area, three heat pumps, and near-new carpet (under two years old) for year-round comfort. Ample parking is provided with a double garage plus four additional off-street spaces, and a garden shed adds extra storage convenience.

Perfectly positioned in a highly convenient location, the home is within a 5-minute walk to Mission Heights Primary School and Mission Heights Junior College, close to local restaurants and takeaways, and zoned for Ormiston Senior College and Sancta Maria College—making it an ideal choice for families seeking comfort, space, and top school zones.

Move in costs required in advance;
2 weeks rent: $1680
4 weeks bond: $3360
Total = $5040.00

For more info please contact;
Yuchen Lu - (027 886 2461)
y.lu@barfoot.co.nz

Feel free to view the property from the roadside, however please do not enter the property under any circumstances unless you are with a Barfoot & Thompson agent. When arriving for viewing please park on roadside and do not park on driveway.

For further listings, please refer to the link below
http://www.barfoot.co.nz/Branches/howick/Rentals

Landlords:
Barfoot and Thompson Howick offers Rental Appraisals, Casual Letting and Full Property Management Solutions. Please give us a call today to discuss your Property Management requirements.
Ph: 09 535 8762
E: howick.rental@barfoot.co.nz

Beware of Scams: Barfoot & Thompson does not ask for money in emails without undertaking the full application process, checks and tenancy agreements being drawn up. Payment can be made at a branch or to our BNZ account supplied inside the tenancy agreement. If you are unsure if a request is legitimate, please phone the branch and check with the Property Manager.

*** Please register online at barfoot.co.nz for available viewing times ***

Read more",Yuchen Lu : 027886 2461
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11021427,"9 Sunshine Lane, Flat Bush","$1,050 per week, available now","Sunshine's Magic!

Discover your dream home in Auckland! This impressive two-story residence in Flatbush boasts 5 bedrooms, 3.5 bathrooms, and a double internal garage.

Key features include:
- Flexible Living: A downstairs bedroom with an en-suite bathroom, additional legally designated kitchen, and private access – perfect for extended family, teenagers, or guests.

- Spacious Upstairs: Three sunny bedrooms plus a magnificent master bedroom with a contemporary en-suite and sizable walk in wardrobe. An additional living area is also located upstairs.

- Modern Entertaining: A stylish and spacious open-plan dining/kitchen area, featuring top-quality appliances and gas cooking, offering privacy and an intimate family retreat, along with two lounges on the ground level.

- Outdoor Enjoyment: An easy-care, fully fenced backyard for kids to play, and a beautifully landscaped patio and deck ideal for barbecues and relaxation.

- Convenient Location: Minutes away from fantastic shopping, dining, and entertainment. Easy access to public transportation and major highways, with schools (Ormiston Primary, Ormiston Junior College, Ormiston Senior College) within walking distance.
Additional off-street parking is also available.

Suitable for up to 8 people, unfurnished, no smoking.
Pets considered on request.
A pet bond may be required if the landlord consents to one or more pets being kept at the property.

Don't miss out on the opportunity to make this beautiful property your new home.

Move in costs:
2 weeks in advance
4 weeks bond

Click on BOOK A VIEWING to register your interest, select a viewing time or apply online via our website.
https://www.barfoot.co.nz/branches/beachlands?tab=ForRent or call Donna Kirkwood 027 839 7107 for more details.

LANDLORDS: We offer free rental appraisals along with a full comprehensive property management service with very experienced property managers who are always happy to discuss the changes to legislation that may affect you. ie: insulation, healthy homes, etc. Please call Donna on 027 439 7107.

Read more",Donna Kirkwood : 027839 7107
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11022351,"29 Banville Road, Flat Bush","$900 per week, available now","5 Bed 2 Bath in Dannemora

Brand new carpet just installed throughout the property.

Situated in the sought-after East Auckland suburb of Dannemora, this well-presented five-bedroom home offers comfort, space, and everyday convenience.

The property features two bathrooms, including a master ensuite, plus a separate toilet to accommodate busy households. A spacious, light-filled lounge with large windows creates a welcoming living area, while sleek, white-tiled floors add a clean, modern touch throughout the home.

Perfectly positioned within walking distance of supermarkets, popular eateries, and modern amenities, including a gym and an electric vehicle charging station. Not to mention you will be a 5-minute drive away from Botany Town Centre and Ormiston Town Centre.
School Zones include: Botany Downs Secondary College, Sancta Maria College, Howick Intermediate and more.
Ideal for families or those seeking a generous living space in a popular location.


Move-in costs are 1 week's rent plus 4 Weeks' rent as a bond.

Don't miss out on this opportunity. Book yourself in for a viewing today or contact us.

Read more",John He : 027616 1394
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11022578,"3 Kildare Road, Flat Bush","$1,650 per week, available now","Keen on Kildare!

Modern 6-Bedroom Home with Self-Contained Living – Ormiston / Flat Bush

Discover this beautifully designed modern 6-bedroom home offering exceptional space, comfort and flexibility. Located in a highly sought-after neighbourhood close to parks, schools, shops, and public transport, this home is ideal for large or extended families or those seeking extra privacy with separate living.

Step inside to find generous open-plan living areas, quality contemporary finishes and a thoughtful layout that allows everyone their own space.

Property Features
• 6 spacious bedrooms
• 4.5 bathrooms, including multiple ensuites
• Separate 1-bedroom granny living area with its own private entrance
• Wet bar in the granny area
• Modern open-plan kitchen and living spaces
• Internal-access double garage
• Sunny timber deck, perfect for outdoor entertaining
• Double-glazed windows
• Mains gas connection

Location Highlights
• Situated in the popular Ormiston / Flat Bush area
• Zoned for top schools:
• Ormiston Primary School
• Ormiston Junior College
• Ormiston Senior College
• Minutes to Ormiston Town Centre, Barry Curtis Park, schools, and local amenities
• Easy access to Botany Town Centre, motorway links, Manukau, and airport routes

This versatile home is perfect for families needing space, multi-generational living, or those wanting a separate living option while staying under one roof.

Pets considered on request.
A pet bond may be required if the landlord consents to one or more pets being kept at the property.

Click on BOOK A VIEWING to register your interest, select a viewing time or apply online via our website. https://www.barfoot.co.nz/branches/beachlands?tab=ForRent

LANDLORDS: We offer free rental appraisals along with a full comprehensive property management service with very experienced property managers who are always happy to discuss the changes to legislation that may affect you. ie: insulation, healthy homes, etc. Please call Donna Kirkwood 027 839 7107

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle.

They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We do not advertise on Facebook Marketplace.

Read more",Donna Kirkwood : 027839 7107
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11023618,"33A Janway Avenue, Flat Bush","$860 per week, available now","Family Home in Flat Bush

This 3 levels house is an ideal space for the family who love outdoor space to Barry Curtis Park and greenery.

You will find one bedroom on the ground level with large and pleasant windows.


Walk further in you will see the spacious kitchen is open up to the family and dining area. There is a decent size back yard for kids and family to enjoy safely or so good for a BBQ.

The middle level comes with 3 bedrooms and 2 bathroom and the top level has a large bedroom with the sky window. This is such a nice layout for the family.

There is a secured garage too.

Total move in cost is 4 weeks bond and 1 week rent in advance.

Available soon

NO SMOKERS

Please feel free to drive by the property first to view from roadside but please do NOT enter the grounds of the property.

To arrange a time to view the interior, contact Colin - 0212289902

Read more",Colin Yang : 021228 9902
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/11023907,"4 Tims Crescent, Flat Bush","$1,350 per week, available 30th March","Together at Tims!

Spacious Family Home with 2-Bedroom Granny Flat – Perfect for Extended Families!

Discover the ultimate in comfort, space, and versatility with this impressive 7-bedroom, 4-bathroom home, designed to accommodate large and extended families or those seeking extra space to work and relax.

**Main Features:**
- **Seven Spacious Bedrooms** – Plenty of room for everyone, including a self-contained 2-bedroom granny flat ideal for guests, teenagers, or extended family.
- **Four Modern Bathrooms** – No more morning queues! Enjoy the convenience and privacy your family deserves.
- **Double Internal Garage** – Secure parking with internal access, plus additional space for storage or a home gym.
- **Multiple Living Areas** – Generous open-plan living and dining spaces, perfect for entertaining or unwinding after a long day.
- **Modern Kitchen** – Well-equipped with quality appliances and ample storage to inspire your inner chef.
- **Low-Maintenance Outdoor Area** – Enjoy family BBQs, children’s playtime, or simply relax in your own private sanctuary.

**Bonus Granny Flat:**
Includes a fully self-contained 2-bedroom flat with its own living area and kitchenette – ideal for grandparents, visitors, or as a potential work-from-home space.

**Location Highlights:**
- Close to excellent schools, shopping centres, parks, and public transport
- Family-friendly neighbourhood in sought-after Flat Bush
- Easy access to motorways and major amenities

This property offers the flexibility and comfort your family needs – whether you have a growing household, frequent visitors, or just love having extra space.

**Don’t miss out on this rare opportunity!**
Contact us today to arrange a viewing and make this exceptional home yours.

No Smoking
Pets considered on request.
A pet bond may be required if the landlord consents to one or more pets being kept at the property.

Move in costs:
4 week bond
1 week in advance

Click on BOOK A VIEWING to register your interest, select a viewing time or apply online via our website. https://www.barfoot.co.nz/branches/beachlands?tab=ForRent

LANDLORDS: We offer free rental appraisals along with a full comprehensive property management service with very experienced property managers who are always happy to discuss the changes to legislation that may affect you. ie: insulation, healthy homes, etc. Please call Donna 027 839 7107

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle.

They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We do not advertise on Facebook Marketplace.

Read more",Donna Kirkwood : 027839 7107
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/36005466,"22 Helianthus Avenue, Flat Bush","$980 per week, available now","Steps Away From Top Schools

This well presented single level 5 bedroom family home is just a few steps away to the area's top schools, Ormiston Primary, Junior College, and Senior College.

This property features:
- 5 Bedrooms
- 2 Bathrooms including an ensuite
- Double internal garage
- Covered deck area
- Garden shed
- Plenty off street parking

Shops, restaurants and coffee shops are also all within easy reach at the great shopping centres of Botany Junction, Botany South and Botany Town Centre.

Available NOW!

Move in Costs;
Rent - $980
Bond - $3920.00
Total - $4,900.00

Feel free to view the property from the roadside, however please do not enter the property under any circumstances unless you are with a Barfoot & Thompson agent. When arriving for viewing please park on the roadside and do not park on the driveway.

For more info please call/text:

Jason - -027 477 3669
Office - 09 278 3024

***To register for viewings please click on ""book a viewing time"" on the Barfoots website, enter your contact details and you will automatically be updated when viewing time is available***


For further listings, please refer to the link below

http://www.barfoot.co.nz/Branches/papatoetoe/Rentals

Landlords:
Barfoot and Thompson Papatoetoe offers Rental Appraisals, Casual Letting and Full Property Management Solutions. Please give Jason a call today to discuss your Property Management requirements. Ph: 09 278 2957 or 027 477 3669 E: papatoetoe.rental@barfoot.co.nz

Read more",Jason Raj : 027477 3669 | Macy Xu : 027348 7970
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/54002340,"19 William Woods Court, Flat Bush","$780 per week, available 1st April","Spacious family home in quiet neighbourhood

A two level, modern home with three bedrooms, all bedrooms are upstairs, two bathrooms and a double garage. Open plan lounge dining and Kitchen.

At the rear it has a large patio area, ideal for summer entertaining. Located at the end of a cul-de-sac, it is handy to Botany Town Centre, local schools and has easy access to the motorway.

Includes garden shed (owner has some items stored in it).

The cost to move in is equivalent to:
One weeks rent in advance $780.00
Bond (4 weeks rent) $3,120.00

Total amount due on signing the RTA $3,900.00

Register your interest by clicking the 'Link' on this page, to transfer to our online 'BOOKING SYSTEM', register and select the available viewing time.
https://www.barfoot.co.nz/branches/meadowlands?tab=ForRent

Note: Once registered - All viewing times and updates will be messaged to you via this automated system.

Note: Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

Read more",Alana Coffey : 027241 0013
https://www.barfoot.co.nz/property/rental/manukau-city/flat-bush/house/72003236,"34 Robin Brooke Drive, Flat Bush","$720 per week, available 19th March","34 Robin Brooke Dr, Flat Bush

This immaculately presented single level brick and tile home is available for rent.

Featuring three double bedrooms (master with ensuite), modern kitchen, patio area, fully fenced backyard, garden shed, double internal entry garage and a security alarm.

This seriously wont be around for long!

Please feel free to drive by the property first to view from roadside but please do NOT enter the grounds of the property.

To arrange a time to view the interior, please regitser to view on the tab above any issues please contact BARFOOT & THOMPSON Flat Bush's office PH 09 271 6219.

Read more",Colin Yang : 021228 9902
