URL,Location,Sale_Type,Description,Agents
https://www.barfoot.co.nz/property/rental/auckland-city/avondale/townhouse/11012059,"2/2b Walsall Street, Avondale","$630 per week, available 14th March","2 Bedroom + 2 Bathroom in Great location!

Gorgeous, freehold terraced townhouse perfect for those wanting a lock up and leave, carefree lifestyle.

PROPERTY DETAILS:
- 2 x double bedrooms
- 2 x Bathrooms including ensuite
- Private courtyard.

This property does not have a car park but set on the sunny slopes of Avondale heights you wont need one with all the amenities so close by.

The village is an easy stroll and plenty of excellent transport options on hand with the bus stop on the corner and train station not far away.

A great opportunity to secure a home in a popular location. Get in touch to arrange a viewing.

COSTS to move in: X2 weeks rent in advance, & 4 week's bond.

Read more",Amani Casas-Clarke : 027355 6427
https://www.barfoot.co.nz/property/rental/auckland-city/balmoral/unit/25000182,"5/13 Queens Avenue, Balmoral","$495 per week, available 20th March","Charming unit hidden off Dominion Road!

Charming 1-Bedroom Haven: Quiet, Tidy, and Fresh!

Discover the comfort of this private 1-bedroom unit that exudes tranquility and modern charm.

The unit boasts a open plan kitchen and lounge area, perfect for both entertaining and relaxation.

Conveniently located near local shops on Dominion Road, you'll enjoy easy access to amenities while still savoring the peaceful serenity that sets this unit apart. Enjoy the added convenience and peace of mind with your very own off-street carpark, ensuring hassle-free parking right at your doorstep.

Pets considered on request.

Move in costs:
4 weeks rent as a bond
2 weeks rent in advance

To apply and to register a viewing please use the below link:
https://www.barfoot.co.nz/25002112

***DISCLAIMER*** Beware of scams! Barfoot & Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D. and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person. We are currently not advertising on Facebook Marketplace.

Read more",Albertine Hand : 027431 9546
https://www.barfoot.co.nz/property/rental/auckland-city/blockhouse-bay/house/48000200,"29 Trinidad Street, Blockhouse Bay","$645 per week, available now","Charming 3-Bedroom Home Perfect for Families

This lovely home features two double bedrooms and one single bedroom, all with built-in wardrobes, and a spacious, sunny front-facing lounge complete with a heat pump. The generous kitchen and dining area open out onto a west-facing back deck, perfect for outdoor meals and entertaining. The bathroom includes a shower and vanity, with a separate toilet, and there is a large laundry conveniently located off the kitchen.

Outside, the property offers a huge backyard providing plenty of space for outdoor living, along with a single external access garage and under-house storage. The home is Healthy Homes compliant and includes a security alarm for added peace of mind.
Tenants will be responsible for maintaining the lawns.

Total moving in cost:
1 week rent in advance
4 weeks rent for bond

Please register for viewings. This can be done by going to the listing on our website at http:www.barfoot.co.nz/branches/blockhousebay/rentals

Select the property and click on ""book a viewing time ""towards the top right of the listings. If there is not a suitable viewing time please register and we will notify you of the next viewing time.

Are you a Landlord keen to have the best Property Manager look after your investment? Then get in touch today and experience the Barfoot and Thompson difference
(09) 626 4872

Read more",Maryam Arabzadeh : 027504 8493
https://www.barfoot.co.nz/property/rental/auckland-city/ellerslie/house/30000892,"18/11 Harrison Road, Ellerslie","$830 per week, available now","Spacious 4-Bedroom Home for Rent in a Prime Location

Discover your new home in this quiet and popular Ellerslie cul-de-sac. This spacious four-bedroom property offers the perfect blend of comfort, space, and convenience.

The home features a fully fenced rear garden, ideal for relaxing or entertaining, and is pet-friendly, so your furry companions are welcome.

Upstairs offers four generous bedrooms, including a master with ensuite, plus a main bathroom. A separate guest toilet downstairs adds extra convenience for family living.

Parking is easy with a double internal-access garage and two additional off-street parking spaces—perfect for visitors.

Ideally located close to Ellerslie Village, local amenities, and motorway access, this home makes commuting and daily life effortless.

TO VIEW: Find the property online at https://www.barfoot.co.nz/branches/greenlane/rentals. Click the BOOK A VIEWING link and register to view. Upon registration, you will receive a confirmation email/txt with more information regarding the viewing.

Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

LANDLORDS: Barfoot and Thompson Greenlane offers full property management services. Please give me a call to discuss your requirements on 0275522352 or email j.akiono@barfoot.co.nz

Read more",Jack Akiono : 027552 2352
https://www.barfoot.co.nz/property/rental/auckland-city/epsom/house/11023752,"3 Highwic Avenue, Epsom","$1,100 per week, available now","Double Grammer Zone Timber 4 Bedroom Family Home in Prime Epsom

TO VIEW: Find the property online at www.barfoot.co.nz/11023752
Click the BOOK A VIEWING button and register yourself to come along if there is a viewing time available. Upon registration, you will receive a confirmation email/txt with more information regarding the viewing.

Located behind a secure automatic gate on a quiet, tree-lined street, this charming single-level home offers privacy, warmth, and timeless character in the heart of Epsom.

Featuring stunning natural timber interiors and a spacious, light-filled layout, this home provides a warm and inviting atmosphere that is rarely found. The sunny living area flows seamlessly to a private deck, perfect for relaxing or entertaining.

Positioned in one of Auckland’s most prestigious school zones, the property is zoned for Cornwall Park School, Remuera Intermediate, Auckland Grammar, and Epsom Girls’ Grammar School.

Conveniently located close to Cornwall Park, local cafés, shops, public transport, and motorway access, this home offers premium lifestyle living in a prime central location.

Property Features:

Four generous double bedrooms, including master with private ensuite
Two bathrooms in total
Beautiful natural timber interior creating warmth and character
Modern kitchen with gas cooktop and quality appliances
Spacious sunny living area with heat pump and gas fireplace
Excellent indoor-outdoor flow to sunny deck
Easy-care garden
Secure automatic gated entrance
Single-level layout – practical and family-friendly

Additional Information:

Lawn and garden maintenance is tenant’s responsibility
No smoking
Available now

* Please note that the furniture shown in the photos is for illustration purposes only.

Move in costs
First two weeks rent $2200
Four weeks bond $4400
Total move in costs $ 6600
* Plus 2 weeks pet bond if applicable


Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out with a staff member who will be wearing I.D and travels in a sign-written vehicle.
They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into our branch and see us in person.

Read more",Winnie Zhang : 027579 6195
https://www.barfoot.co.nz/property/rental/auckland-city/glen-innes/house/11024278,"165A Line Road, Glen Innes","$550 per week, available now","3 Bedroom Spacious Flat in Glen Innes Town Centre

Welcome to this well-presented 3-bedroom apartment is ideally located just behind shops in Glen Innes, offering both convenience and comfort. The property includes:

- Three generously sized bedrooms perfect for families or professionals.
- A separate kitchen that provides a functional and private cooking space.
- Open-plan lounge and dining area that creates a bright, airy atmosphere for relaxation and entertainment.
- One carpark for added convenience.

The apartment is well-situated for easy access to local amenities, public transport, and the bustling hub of Glen Innes.

It is centrally located in the heart of Glen Innes. Separate access close to train station and bus stop.

Move in Costs:
4 weeks bond: $2200.00
2 weeks advance rent: $1100.00
Total: $3300.00

Please feel free to view the property on the roadside but please DO NOT enter the grounds of the property.

Contact our property manager Sanij Shahi to know more about this property or to schedule a private viewing.

PLEASE NOTE: You must register for a viewing so we can keep you up-to-date on the status of the viewings and property. Viewings may be cancelled if there are no attendees.

Scammer Alert:
'Beware of scams! Barfoot and Thompson do not ask for money upfront until you have seen the property inside and out by a staff member who will be wearing I.D and travel in a sign-written vehicle. They will then provide a full tenancy agreement to be signed prior to money collection. If unsure, please pop into one of our branches and see us in person.'

Read more",Sanij Shahi : 027705 3302
https://www.barfoot.co.nz/property/rental/auckland-city/grey-lynn/house/11018714,"10 Gilbert Avenue, Grey Lynn","$730 per week, available now","3 bedroom in heart of Grey Lynn

3 bedroom, 1 bathroom house with 2 living areas in heart of Grey Lynn.

Located in the vibrant Grey Lynn neighborhood, this property offers a superb location just a stone's throw away from the bustling cafe strip of West Lynn Village. Close to Western Springs Park, perfect for weekend picnics or leisurely walks surrounded by nature's beauty. Plus, this pet-friendly property ensures that your furry friends can also enjoy a comfortable living space.

With 3 bedrooms, and ample storage space. The two living areas also provide flexibility for different activities or use as a office or 4th bedroom.

Key features:
- 3 good sized bedroom with 1 bathroom
- 2 living areas, both fitted with a heat pump to keep your comfort all year round
- Freestanding garage offers ample storage space
- Close to West Lynn Village and Western Springs Park
- Pet friendly
( 2 week rents for the pet bond apply)

Total Move In Cost:
4 weeks bond + 1 week rent +2 weeks rent for the pet bond for the pet apply


Read more",Vivienne Shen : 027628 7919
https://www.barfoot.co.nz/property/rental/auckland-city/herne-bay/unit/11024364,"2/14 Argyle Street, Herne Bay","$630 per week, available 7th March","Beautiful one bedroom unit in Herne Bay

***To register for viewings please click on ""book a viewing time"" on the Barfoot's website, enter your contact details and you will automatically be updated when viewing time is available***

Pets negotiable. Suit up to two people.

This is a one bedroom fully furnished (Can be unfurnished) unit, everything you see in the photos can be included or removed by negotiation, it has a lovely private fully fenced front yard which has a covered patio.

One big parking space around the back of the unit.

It is located within a short walk to Jervois Rd restaurants and shops, easy access to the city centre.

Zoned for Bayfield School, Ponsonby Intermediate and Western Springs College.

Feel free to view the property from the roadside, however please do not enter the property under any circumstances unless you are with a Barfoot & Thompson agent. When arriving for viewing please park on roadside and do not park on driveway.

For more info please call/text:

Kun - 027 553 2480

***To register for viewings please click on ""book a viewing time"" on the Barfoots website, enter your contact details and you will automatcially be updated when viewing time is available***

For further listings, please refer to the link below.

http://www.barfoot.co.nz/Branches/howick/Rentals

Read more",Kun Lu : 027553 2480
https://www.barfoot.co.nz/property/rental/auckland-city/mission-bay/house/11013563,"2-30B Kempthorne Crescent, Mission Bay","$1,100 per week, available 11th April","Modern, Three-Level Townhouse - Mission Bay

Situated down a right-of-way, this modern & peaceful three-level townhouse will be available to rent furnished from the 26th of April 2026.

The top level consists of a spacious open-plan kitchen/living opening onto a large deck. The master bedroom and the guest toilet are also on this level.

The mid-level has three double bedrooms (one with a covered deck) and the main bathroom.

Downstairs is the large double garage and the laundry.

Suit families or couples, pets will be considered, and no smokers please.

In zone for St Thomas's School and Selwyn College, Eastridge Shopping Mall is minutes away and the Kepa Road bus route has your CBD public transport commute all sorted.

The cost to move in is the first two weeks' rent and a bond equal to four weeks' rent.

For inquiries, contact Eve Pallatt on 027 540 9895.

Read more",Eve Pallatt : 027540 9895
https://www.barfoot.co.nz/property/rental/auckland-city/mt-eden/house/11024389,"29 Peary Road, Mt Eden","$1,050 per week, available now","Newly renovated

Hidden from the road and filled with natural light, this private family home offers comfort, space, and easy living in one of Auckland’s most desirable suburbs.

Set on a fully fenced 454sqm (approx.) freehold section, this well-maintained property features four generous bedrooms, providing plenty of room for families to spread out and enjoy. The sunny front and rear outdoor areas are perfect for weekend BBQs, children to play safely, or anyone who enjoys a bit of gardening.

A separate room offers excellent flexibility — ideal as a home office, media room, study space, or hobby area depending on your needs. A double carport adds convenience with ample off-street parking.

Location makes daily life simple. You’re just minutes from local shops, cafés, and restaurants, with easy access to public transport along Mount Eden Road.

Zoned for sought-after schools including Maungawhau School, Auckland Normal Intermediate, and Mt Albert Grammar School, this home is perfectly suited for families wanting both lifestyle and convenience.

Move in and enjoy relaxed, easy living in a fantastic neighbourhood.

Move in cost
4 weeks rent as bond
1 week rent in advance

Read more",John He : 027616 1394
