Title,Text,URL
"Lots 1-3/2262 Waiare Road, Kaeo","Location: Lots 1-3/2262 Waiare Road, Kaeo
Sale type: $599,000
Agents: Simon Hart : 021024 00648 | Ryan Turei : 021207 5385
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kaeo/lifestyle-land/896764

Description:
Sections With Native Bush From $599,000

Nestled just a short drive from Waipapa and Kerikeri, discover three tranquil sections overlooking the valley below and surrounded by native Kauri bush. Listen to the sounds of Kereru, Tui, and Piwakawaka as they play among the trees, enhancing the peaceful ambiance of these stunning house sites. This property offers the perfect blend of secluded tranquility with convenient access to local amenities, ideal for those seeking to escape city life, create an eco-retreat or Airbnb, or raise a family in a rural setting.


Lot 1 - 9,600 sqm: Positioned lower on the property with easy access to Waiare Road, this section is interspersed with native bush, offering multiple build site options. Priced at $599,000.


Lot 2 - 9,600 sqm: Located higher on the property, this section provides uninterrupted views of the valley below and out to the Bay of Islands. A number of generous potential house sites are available. Priced at $599,000.


Lot 3 - 20.17 hectares: The largest section, this is the jewel in the crown, featuring a generous house site surrounded by native bush and its own private entrance from the main road. Priced at $899,000.
Secure your own slice of paradise today.

Contact Simon or Ryan to arrange a private viewing.

*These blocks are awaiting title issue.

Read more",https://www.barfoot.co.nz/property/residential/far-north-district/kaeo/lifestyle-land/896764
"B/27 Cavalli View Road, Kaeo","Location: B/27 Cavalli View Road, Kaeo
Sale type: $999,000
Agents: Manus Mulder : 021163 3397
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kaeo/lifestyle/929819

Description:
ResidentialFar North DistrictKaeoB/27 Cavalli View Road",https://www.barfoot.co.nz/property/residential/far-north-district/kaeo/lifestyle/929819
"272 Rangihoua Road, Kerikeri","Location: 272 Rangihoua Road, Kerikeri
Sale type: For sale by negotiation
Agents: Liz McCarthy : 027499 1573 | Dougal Wealleans : 027272 7915
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle-land/907006

Description:
Waterfront Opportunity - Call Your Architect

Escape to the Purerua Peninsula the location of the Bay of Islands' most exclusive gated communities and new developments of high-end properties. There are very limited options to secure a property such as this - the exclusivity of this particular canvas would appeal to a number of buyers who want a waters edge position and not be part of a larger development.

Absolute waterfront - a stunning 5.69-hectare block with riparian rights on the Te Puna Inlet. The property has an elevated building platform overlooking the water. The transformation has begun - it is beautifully manicured and improvements include an established water bore and new plantings including an avocado orchard. The rye and clover in the paddocks are perfect for grazing your horse or sheep while you design your dream.

We hope you like fishing - indulge in the thrill of catching snapper, mullet, or flounder at your doorstep. Launch your kayak and paddle board up or down the inlet in the sheltered waters.

All within a 25-minute drive from the vibrant township of Kerikeri.

Site Suitability & Onesite Wastewater Reports are available. Don’t miss out on this rare chance to experience coastal living in the beautiful Bay of Islands.

Read more",https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle-land/907006
"Lot 4, Cottle Hill Drive, Kerikeri","Location: Lot 4, Cottle Hill Drive, Kerikeri
Sale type: $470,000
Agents: Paula O'Brien : 021177 4446
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle-land/908540

Description:
Build Your Dream Home, Covenant-Free

Discover this stunning 5,610m² lifestyle section with an elevated, north-facing building platform, offering privacy and shelter among beautiful, established trees.

Flanked by two picturesque lakes, this property enjoys a peaceful, natural setting while being conveniently accessible via a concrete driveway. Essential services, including power, telecommunications, and computer media, are already at the boundary, ensuring an easy start to your build.

With no covenants, you have the flexibility to design and build at your own pace. Plus, the surrounding area features architecturally designed homes, providing a sense of quality and community.

Whether you're ready to build now or looking to land bank for the future, this is an opportunity too good to miss.

Get in touch today to arrange a viewing

Read more",https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle-land/908540
"194 Showground Road, Kerikeri","Location: 194 Showground Road, Kerikeri
Sale type: $560,000
Agents: Leanne McKinnon : 021865 887 | Emma Rich : 022404 2136
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle-land/923641

Description:
Location, Location!

Set in the sought-after Waimate North area, this appealing bare land offers an excellent opportunity to create your rural lifestyle dream.


Gently sloping paddocks with rich volcanic soil
Spring-fed pond and power to the boundary
Peaceful rural outlook in an idyllic setting
No cats or dogs permitted

Make contact today to ensure you don’t miss out on this fantastic opportunity.

Read more",https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle-land/923641
"288 Otaha Road, Kerikeri","Location: 288 Otaha Road, Kerikeri
Sale type: $935,000
Agents: Simon Hart : 021024 00648 | Gillian Hurst : 021029 78894
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/926072

Description:
ResidentialFar North DistrictKerikeri288 Otaha Road",https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/926072
"95b McLeod Road, Kerikeri","Location: 95b McLeod Road, Kerikeri
Sale type: $965,000
Agents: Paula O'Brien : 021177 4446
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/926159

Description:
ResidentialFar North DistrictKerikeri95b McLeod Road",https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/926159
"509 Wiroa Road, Kerikeri","Location: 509 Wiroa Road, Kerikeri
Sale type: $945,000
Agents: Ryan Turei : 021207 5385
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/927151

Description:
Your Lifestyle Journey Starts Here

Set on a generous 5-acre section, this brand-new home designed and built by Bay Builders offers modern living with a relaxed rural feel.

Thoughtfully laid out, the home features three bedrooms, two bathrooms and spacious open-plan living, making it perfectly suited to small families, couples, or those looking to downsize without compromise.

A generous double garage adds everyday practicality, while the land provides ample scope for livestock, a hobby farm or simply enjoying space and privacy.

Located just minutes from Kerikeri, this is an ideal opportunity to begin or simplify your lifestyle journey while staying connected to town amenities.

Call now to book a viewing.

Read more",https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/927151
"815 Waimate North Road, Kerikeri","Location: 815 Waimate North Road, Kerikeri
Sale type: For sale by negotiation
Agents: Yvette White : 027862 0303
URL: https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/930250

Description:
Open home for 815 Waimate North Road, Kerikeri. Starting at 12:00PM and finishing at 12:30PM 

Open home for listing ID:930250. Listing by Yvette White from Barfoot & Thompson.",https://www.barfoot.co.nz/property/residential/far-north-district/kerikeri/lifestyle/930250
"2884A State Highway 10, Mangonui","Location: 2884A State Highway 10, Mangonui
Sale type: For sale by negotiation
Agents: Ross Paterson : 021413 401 | Liz McCarthy : 027499 1573
URL: https://www.barfoot.co.nz/property/residential/far-north-district/mangonui/lifestyle-land/926432

Description:
ResidentialFar North DistrictMangonui2884A State Highway 10",https://www.barfoot.co.nz/property/residential/far-north-district/mangonui/lifestyle-land/926432
